STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00094728,"NY CITY CENTRAL PARK, NY US",4/28/16,4.7,,0,0,0,,59,48,,50,60,13,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/29/16,5.82,,0.05,0,0,,58,45,,60,90,14.1,19.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",4/30/16,5.82,,0,0,0,,65,46,,270,170,12.1,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/1/16,4.92,,0.16,0,0,,51,45,,70,170,13,19.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/2/16,2.24,,0.04,0,0,,60,45,,60,300,8.9,12.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/3/16,6.04,,0.61,0,0,,56,51,,60,70,14.1,19,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/4/16,8.72,,0.01,0,0,,52,48,,60,60,17,23.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/5/16,8.28,,0,0,0,,57,46,,60,40,15,23,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/6/16,7.83,,0.54,0,0,,54,48,,80,60,18.1,28,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/7/16,4.47,,0,0,0,,60,48,,80,60,14.1,19,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/8/16,4.7,,0.16,0,0,,66,49,,310,300,19.9,31.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/9/16,5.14,,0,0,0,,72,52,,260,270,18.1,30,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/10/16,4.92,,0,0,0,,63,50,,60,250,13,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/11/16,2.46,,0,0,0,,76,50,,250,250,10.1,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/12/16,3.36,,0,0,0,,80,56,,70,5,12.1,18.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/13/16,,,0.25,0,0,,65,57,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/14/16,,,0,0,0,,73,56,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/15/16,,,0,0,0,,59,46,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/16/16,,,0,0,0,,66,43,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/17/16,3.8,,0,0,0,,64,52,,99,,6,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/18/16,,,0,0,0,,68,52,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/19/16,1.34,,0,0,0,,73,54,,190,180,10.1,21,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/20/16,4.47,,0,0,0,,76,53,,50,250,12.1,16.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/21/16,3.8,,0.04,0,0,,66,54,,150,150,12.1,19,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/22/16,3.58,,0.09,0,0,,70,52,,60,50,10.1,14.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/23/16,2.46,,0.02,0,0,,78,56,,180,170,8.9,16.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/24/16,2.01,,0.18,0,0,,73,58,,20,30,8.9,14.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/25/16,4.25,,0,0,0,,88,61,,240,250,10.1,16.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/26/16,3.58,,0,0,0,,90,69,,180,190,10.1,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/27/16,3.8,,0,0,0,,87,73,,160,250,13,19.9,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/28/16,4.47,,0,0,0,,92,71,,230,240,12.1,23,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/29/16,4.92,,0,0,0,,87,70,,170,170,13,23.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/30/16,3.13,,1.65,0,0,,82,68,,240,330,12.1,30,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",5/31/16,3.13,,0,0,0,,85,71,,70,210,12.1,19.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/1/16,6.04,,0,0,0,,83,66,,60,60,13,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/2/16,4.7,,0,0,0,,78,62,,60,50,12.1,16.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/3/16,1.34,,0.04,0,0,,70,63,,90,140,8.1,10.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/4/16,2.46,,0.4,0,0,,83,66,,160,180,8.9,13,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/5/16,3.36,,0.91,0,0,,71,65,,280,270,18.1,38,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/6/16,5.59,,0,0,0,,83,65,,250,290,13,21.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/7/16,5.14,,0,0,0,,85,64,,310,300,17,30,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/8/16,7.61,,0.45,0,0,,67,52,,290,280,17,28,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/9/16,8.95,,0,0,0,,71,54,,290,280,21,32,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/10/16,5.37,,0,0,0,,77,57,,300,310,14.1,23.9,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/11/16,3.36,,0,0,0,,88,59,,270,270,15,25.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/12/16,8.05,,0,0,0,,83,62,,290,290,21,36,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/13/16,7.38,,0,0,0,,74,57,,280,320,14.1,27.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/14/16,4.25,,0,0,0,,79,58,,20,290,10.1,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/15/16,2.46,,0,0,0,,85,62,,260,250,12.1,18.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/16/16,1.79,,0.22,0,0,,74,65,,150,20,8.1,16.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/17/16,4.7,,0,0,0,,78,63,,70,180,13,19,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/18/16,2.68,,0,0,0,,87,61,,160,160,8.9,16.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/19/16,2.91,,0,0,0,,88,66,,170,170,12.1,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/20/16,3.13,,0,0,0,,84,64,,160,170,12.1,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/21/16,4.92,,0,0,0,,87,72,,300,300,15,27.1,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/22/16,4.03,,0,0,0,,86,68,,290,270,17,25.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/23/16,2.01,,0,0,0,,83,69,,70,60,8.1,12.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/24/16,6.26,,0,0,0,,84,67,,60,40,15,21.9,,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/25/16,3.58,,0,0,0,,86,64,,170,160,8.9,15,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/26/16,2.46,,0,0,0,,87,67,,160,170,10.1,17,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/27/16,4.92,,0.45,0,0,,83,67,,160,190,12.1,21.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/28/16,3.58,,0.12,0,0,,76,68,,160,170,12.1,17,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/29/16,2.24,,0.01,0,0,,83,67,,270,250,10.1,17,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",6/30/16,2.91,,0,0,0,,85,67,,160,250,8.1,15,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/1/16,3.36,,0.83,0,0,,79,66,,170,160,13,21.9,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/2/16,5.37,,0,0,0,,76,63,,310,290,13,23.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/3/16,3.13,,0,0,0,,78,64,,250,270,8.9,16.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/4/16,3.13,,0.49,0,0,,84,66,,260,250,12.1,21,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/5/16,2.91,,0.66,0,0,,86,69,,280,280,12.1,16.1,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/6/16,2.46,,0,0,0,,91,75,,170,180,8.1,16.1,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/7/16,2.01,,0.04,0,0,,89,77,,260,170,8.9,18.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/16,5.37,,0.08,0,0,,86,67,,60,60,13,18.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/16,4.03,,0.53,0,0,,72,65,,150,140,10.1,16.1,1,,,,,,1,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/16,4.25,,0,0,0,,80,66,,290,290,12.1,21.9,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/16,3.36,,0,0,0,,81,65,,60,50,10.1,15,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/16,4.25,,0,0,0,,82,68,,170,170,13,19,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/16,4.7,,0,0,0,,85,71,,230,250,10.1,19.9,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/16,2.91,,0.62,0,0,,88,73,,280,290,19.9,36,1,,,,,,1,
